"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"ZSWIM2",5.11825413443163e-09,0.272273880302273,0.406,0.566,0.000297892627132189,"up","ZSWIM2"
"AP001065.3",5.14198655392271e-09,0.192425761448921,0.125,0.377,0.00029927390141141,"up","AP001065.3"
"AC103724.4",5.16002108827665e-09,0.184560654274734,0.167,0.415,0.000300323547379877,"up","AC103724.4"
"SLC1A3",5.18554392201724e-09,0.178917803173426,0.167,0.255,0.000301809027349247,"up","SLC1A3"
"AL157396.1",5.20372679009799e-09,0.170598950976263,0.312,0.5,0.000302867306637283,"up","AL157396.1"
"AC004870.2",5.2131134923494e-09,0.183543016193565,0.156,0.264,0.00030341363148172,"up","AC004870.2"
"PNCK",5.26499986758372e-09,0.112536262186512,0.125,0.425,0.000306433522293108,"up","PNCK"
"FPR1",5.2962070652796e-09,0.22343589202788,0.188,0.274,0.000308249843613403,"up","FPR1"
"CARD9",5.33082140063957e-09,0.341072774477562,0.417,0.689,0.000310264467160024,"up","CARD9"
"Z99289.1",5.33187668664745e-09,0.302036694681258,0.385,0.509,0.000310325886916255,"up","Z99289.1"
"AC103957.2",5.33653605963844e-09,0.156031128427029,0.125,0.302,0.000310597071743077,"up","AC103957.2"
"HAP1",5.36386087226216e-09,1.00377391518812,0.885,0.962,0.000312187430487402,"up","HAP1"
"RNF148",5.38525897111483e-09,0.153549509991234,0.104,0.283,0.000313432842636826,"up","RNF148"
"LINC02346",5.38622943862365e-09,0.195963635356747,0.177,0.274,0.000313489325786774,"up","LINC02346"
"AP002762.3",5.39117054841032e-09,0.182917015067491,0.26,0.472,0.000313776908258577,"up","AP002762.3"
"ITIH1",5.41594868477325e-09,0.191508229195828,0.094,0.406,0.000315219045351173,"up","ITIH1"
"AC233263.6",5.45094488732336e-09,0.181697661811445,0.208,0.472,0.000317255894331994,"up","AC233263.6"
"AL512631.2",5.45467332098361e-09,0.134091929377085,0.229,0.472,0.000317472896627888,"up","AL512631.2"
"AL138701.2",5.46909295545005e-09,0.146002263744873,0.167,0.377,0.000318312148193104,"up","AL138701.2"
"AL132765.2",5.47408699853306e-09,0.187010757453844,0.198,0.434,0.000318602811488621,"up","AL132765.2"
"AC025257.1",5.49911637728005e-09,0.144120665044945,0.198,0.453,0.000320059571390453,"up","AC025257.1"
"ALCAM",5.53183169993343e-09,0.819667402290033,0.99,1,0.000321963668599525,"up","ALCAM"
"ERLNC1",5.56890610773332e-09,0.171355734334517,0.125,0.264,0.000324121473282295,"up","ERLNC1"
"CFAP97D1",5.57063661552308e-09,0.307018868984295,0.177,0.33,0.000324222192296675,"up","CFAP97D1"
"AL645937.4",5.62112058319964e-09,0.126834322436851,0.125,0.349,0.000327160460183385,"up","AL645937.4"
"AC092757.3",5.62940755200408e-09,0.160720601435718,0.156,0.292,0.000327642778341742,"up","AC092757.3"
"LINC00664",5.64210615306943e-09,0.139712151091032,0.312,0.575,0.000328381862320947,"up","LINC00664"
"AL133445.3",5.64927508291109e-09,0.150272180657905,0.156,0.377,0.000328799108375591,"up","AL133445.3"
"AC127521.1",5.68419280304533e-09,0.142408846315572,0.188,0.443,0.000330831389522845,"up","AC127521.1"
"SSC5D",5.72954707754671e-09,0.886878172930719,0.833,0.943,0.000333471099007374,"up","SSC5D"
"CCDC126",5.74494302790074e-09,0.827505022914197,0.917,1,0.000334367174109879,"up","CCDC126"
"AC012065.3",5.76224237411711e-09,0.162614624338505,0.208,0.396,0.000335374030658364,"up","AC012065.3"
"SCN9A",5.77719866689043e-09,0.742819783219032,0.812,0.953,0.000336244516810357,"up","SCN9A"
"AL355481.1",5.82229966679289e-09,0.132681762653036,0.104,0.264,0.00033886948520668,"up","AL355481.1"
"RIMS3",5.83808715040673e-09,0.209507699245843,0.219,0.472,0.000339788348327972,"up","RIMS3"
"AC100774.1",5.85666438734936e-09,0.165606715606543,0.156,0.321,0.000340869580672507,"up","AC100774.1"
"RAB20",5.86872413869401e-09,-0.734874027813937,0.677,0.962,0.000341571482320269,"down","RAB20"
"NR2F2-AS1",5.93759908703944e-09,0.158617847036292,0.208,0.425,0.00034558014206387,"up","NR2F2-AS1"
"SLC5A5",6.02953726819284e-09,0.206011904741946,0.188,0.434,0.00035093112808336,"up","SLC5A5"
